คำเมือง, คำไทย
มันแก๋วลาว, มันแกว
มันแก๋วละแวก, มันแกว
มันแก๋ว, มันเทศ
มันต้าง, มันสำปะหลัง
มันอะลู, มันฝรั่ง
ก้อมก้อ, แมงลัก
มะเขือบ้า, ลำโพง
สะเลียม, สะเดา
ผั๋กแป้น, หอมแป้น
เห๋คเฟือง, เห็ดฟาง
เห๋ตหูลั๋วะ, เห็ดหูหนู
หัวผั๋กกาด, หัวไชเท้า
โหละพา, โหระพา
ก้วยไข่, กล้วยไข่
ก้วยอ่อง, กล้วยน้ำว้า
ก้วยใต้, กล้วยน้ำว้า
ก้วยค้าว, กล้วยหอม
ก้วยส้ม, กล้วยหักมุก
มะต้อง, กะท้อน
มะตื๋น, กะท้อน
มะหนุน, ขนุน
เง่าะ, เงาะ
มะเง่าะ, เงาะ
